il_kod,ilce_kod,il_adi,ilce_adi,gida_mevcut,gida_tahmin,gida_tahmin_yuvarlak,gida_fark,gida_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
72,1487,Batman,Kozluk,1.0,1.0671266,1,0.0,dengede,19353,,310,409.0,260589.0
72,1607,Batman,Sason,1.0,0.8233055,1,0.0,dengede,9910,,226,113.0,11102.0
69,1767,Bayburt,Aydýntepe,0.0,0.0,0,0.0,dengede,2547,,312,114.0,80706.0
69,1788,Bayburt,Demirözü,0.0,0.0,0,0.0,dengede,3759,,279,160.0,247077.0
11,1210,Bilecik,Bozüyük,2.0,2.1471553,2,0.0,dengede,57255,,422,1164.0,192911.0
11,1359,Bilecik,Gölpazarý,0.0,0.00046814233,0,0.0,dengede,5754,,362,86.0,122440.0
11,1948,Bilecik,Ýnhisar,0.0,0.0,0,0.0,dengede,812,,249,20.0,19490.0
11,1559,Bilecik,Osmaneli,1.0,1.091009,1,0.0,dengede,12610,,441,286.0,123423.0
11,1571,Bilecik,Pazaryeri,0.0,0.03997931,0,0.0,dengede,4792,,424,226.0,101134.0
11,1636,Bilecik,Söðüt,0.0,0.020312108,0,0.0,dengede,10769,,334,221.0,96785.0
11,1857,Bilecik,Yenipazar,0.0,0.0,0,0.0,dengede,886,,316,38.0,74768.0
12,1750,Bingöl,Adaklý,0.0,0.0,0,0.0,dengede,2443,,210,23.0,140570.0
12,1344,Bingöl,Genç,0.0,0.0,0,0.0,dengede,13963,,276,173.0,205502.0
12,1446,Bingöl,Karlýova,0.0,0.0,0,0.0,dengede,7154,,220,136.0,211501.0
12,1855,Bingöl,Yayladere,0.0,0.0,0,0.0,dengede,724,,187,5.0,35599.0
12,1996,Bingöl,Yedisu,0.0,0.0,0,0.0,dengede,1070,,210,19.0,76116.0
13,1106,Bitlis,Adilcevaz,0.0,0.02524262,0,0.0,dengede,11227,,302,222.0,372590.0
13,1112,Bitlis,Ahlat,0.0,0.039892234,0,0.0,dengede,22806,,284,572.0,417282.0
13,1798,Bitlis,Güroymak,0.0,0.030639328,0,0.0,dengede,21757,,264,204.0,128040.0
13,1394,Bitlis,Hizan,0.0,0.0280568,0,0.0,dengede,8448,,258,362.0,85682.0
13,1537,Bitlis,Mutki,0.0,0.0,0,0.0,dengede,3769,,233,48.0,93716.0
13,1669,Bitlis,Tatvan,2.0,1.343457,1,1.0,norm_fazlasi,56791,,261,912.0,213767.0
14,1916,Bolu,Dörtdivan,0.0,0.019161142,0,0.0,dengede,2220,,210,163.0,87837.0
14,1346,Bolu,Gerede,1.0,0.8676138,1,0.0,dengede,20157,,248,660.0,303362.0
14,1364,Bolu,Göynük,0.0,0.04199376,0,0.0,dengede,3456,,329,303.0,152708.0
14,1466,Bolu,Kýbrýscýk,0.0,0.0,0,0.0,dengede,891,,213,71.0,9546.0
14,1522,Bolu,Mengen,0.0,0.03235463,0,0.0,dengede,5963,,331,221.0,16085.0
14,1531,Bolu,Mudurnu,0.0,0.05509475,0,0.0,dengede,6029,,316,492.0,154571.0
14,1610,Bolu,Seben,0.0,0.0,0,0.0,dengede,1985,,301,94.0,47610.0
14,1997,Bolu,Yeniçaða,0.0,0.0,0,0.0,dengede,3467,,269,124.0,42788.0
15,1109,Burdur,Aðlasun,0.0,0.040708266,0,0.0,dengede,3123,,549,160.0,58648.0
15,1874,Burdur,Altýnyayla,0.0,0.0,0,0.0,dengede,2380,,377,90.0,12732.0
15,1211,Burdur,Bucak,3.0,2.5984213,3,0.0,dengede,40267,,681,988.0,216391.0
15,1899,Burdur,Çavdýr,1.0,1.5744402,2,-1.0,norm_eksigi,6490,,462,868.0,110050.0
15,1903,Burdur,Çeltikçi,0.0,0.0,0,0.0,dengede,1876,,470,69.0,31991.0
15,1357,Burdur,Gölhisar,1.0,1.493674,1,0.0,dengede,15179,,578,609.0,175337.0
15,1813,Burdur,Karamanlý,0.0,0.054875575,0,0.0,dengede,4776,,548,85.0,161863.0
15,1816,Burdur,Kemer,0.0,0.0,0,0.0,dengede,1201,,439,58.0,80232.0
15,1672,Burdur,Tefenni,0.0,0.031122811,0,0.0,dengede,4718,,451,145.0,158592.0
15,1728,Burdur,Yeþilova,0.0,0.08456975,0,0.0,dengede,4282,,578,354.0,230340.0
16,1783,Bursa,Büyükorhan,0.0,0.06555388,0,0.0,dengede,9678,,429,216.0,38452.0
16,1343,Bursa,Gemlik,4.0,3.3015969,3,1.0,norm_fazlasi,84461,,341,2864.0,88765.0
16,1935,Bursa,Gürsu,4.0,2.352139,2,2.0,norm_fazlasi,76010,,406,1012.0,43718.0
16,1799,Bursa,Harmancýk,0.0,0.03642551,0,0.0,dengede,5200,,453,114.0,47068.0
16,1411,Bursa,Ýnegöl,7.0,6.7707634,7,0.0,dengede,233613,,581,4524.0,297879.0
16,1420,Bursa,Ýznik,3.0,2.04177,2,1.0,norm_fazlasi,38104,,436,1559.0,164702.0
16,1434,Bursa,Karacabey,3.0,2.9373758,3,0.0,dengede,68306,,611,1844.0,617619.0
16,1457,Bursa,Keles,2.0,1.4234523,1,1.0,norm_fazlasi,10996,,484,250.0,104478.0
16,1960,Bursa,Kestel,2.0,2.885391,3,-1.0,norm_eksigi,56415,,527,1610.0,82522.0
16,1530,Bursa,Mudanya,4.0,3.3450084,3,1.0,norm_fazlasi,87768,,479,2491.0,190047.0
16,1535,Bursa,Mustafakemalpaþa,3.0,4.039919,4,-1.0,norm_eksigi,85488,,570,2760.0,512835.0
16,1829,Bursa,Nilüfer,10.0,10.8127365,11,-1.0,dengede,432989,,484,9809.0,155372.0
16,1553,Bursa,Orhaneli,1.0,1.4639074,1,0.0,dengede,15525,,548,376.0,88700.0
16,1554,Bursa,Orhangazi,2.0,2.601021,3,-1.0,norm_eksigi,61950,,466,2161.0,129721.0
16,1832,Bursa,Osmangazi,15.0,16.485716,16,-1.0,dengede,669873,,500,16425.0,120155.0
16,1725,Bursa,Yeniþehir,2.0,2.0180986,2,0.0,dengede,43917,,552,1444.0,314401.0
16,1859,Bursa,Yýldýrým,9.0,10.22818,10,-1.0,dengede,480785,,342,8276.0,12522.0
17,1160,Çanakkale,Ayvacýk,2.0,1.5969776,2,0.0,dengede,17164,,512,1244.0,242999.0
17,1180,Çanakkale,Bayramiç,0.0,0.25454968,0,0.0,dengede,12477,,610,933.0,315374.0
17,1190,Çanakkale,Biga,2.0,2.5787237,3,-1.0,norm_eksigi,50080,,620,1881.0,585449.0
17,1205,Çanakkale,Bozcaada,1.0,1.0174295,1,0.0,dengede,3018,,302,285.0,16760.0
17,1229,Çanakkale,Çan,1.0,1.6611913,2,-1.0,norm_eksigi,25081,,528,545.0,211683.0
