il_kod,ilce_kod,il_adi,ilce_adi,ziraat_mevcut,ziraat_tahmin,ziraat_tahmin_yuvarlak,ziraat_fark,ziraat_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
16,1411,Bursa,Ýnegöl,15.0,23.17856,23,-8.0,norm_eksigi,233613,,581,4524.0,297879.0
16,1420,Bursa,Ýznik,12.0,11.514808,12,0.0,dengede,38104,,436,1559.0,164702.0
16,1434,Bursa,Karacabey,14.0,18.074928,18,-4.0,norm_eksigi,68306,,611,1844.0,617619.0
16,1457,Bursa,Keles,3.0,3.64138,4,-1.0,norm_eksigi,10996,,484,250.0,104478.0
16,1960,Bursa,Kestel,15.0,10.689078,11,4.0,norm_fazlasi,56415,,527,1610.0,82522.0
16,1530,Bursa,Mudanya,22.0,15.433431,15,7.0,norm_fazlasi,87768,,479,2491.0,190047.0
16,1535,Bursa,Mustafakemalpaþa,20.0,14.370347,14,6.0,norm_fazlasi,85488,,570,2760.0,512835.0
16,1829,Bursa,Nilüfer,20.0,25.38137,25,-5.0,norm_eksigi,432989,,484,9809.0,155372.0
16,1553,Bursa,Orhaneli,4.0,8.798926,9,-5.0,norm_eksigi,15525,,548,376.0,88700.0
16,1554,Bursa,Orhangazi,7.0,13.668,14,-7.0,norm_eksigi,61950,,466,2161.0,129721.0
16,1832,Bursa,Osmangazi,26.0,28.351267,28,-2.0,dengede,669873,,500,16425.0,120155.0
16,1725,Bursa,Yeniþehir,12.0,14.263308,14,-2.0,dengede,43917,,552,1444.0,314401.0
16,1859,Bursa,Yýldýrým,8.0,15.308777,15,-7.0,norm_eksigi,480785,,342,8276.0,12522.0
17,1160,Çanakkale,Ayvacýk,11.0,11.07997,11,0.0,dengede,17164,,512,1244.0,242999.0
17,1180,Çanakkale,Bayramiç,13.0,11.191566,11,2.0,dengede,12477,,610,933.0,315374.0
17,1190,Çanakkale,Biga,22.0,19.836662,20,2.0,dengede,50080,,620,1881.0,585449.0
17,1205,Çanakkale,Bozcaada,4.0,3.2513747,3,1.0,norm_fazlasi,3018,,302,285.0,16760.0
17,1229,Çanakkale,Çan,9.0,10.231524,10,-1.0,dengede,25081,,528,545.0,211683.0
17,1293,Çanakkale,Eceabat,7.0,7.8966312,8,-1.0,dengede,4783,,479,391.0,166340.0
17,1326,Çanakkale,Ezine,11.0,10.122554,10,1.0,dengede,14998,,533,824.0,268469.0
17,1340,Çanakkale,Gelibolu,12.0,10.299138,10,2.0,norm_fazlasi,28560,,540,1017.0,393209.0
17,1408,Çanakkale,Gökçeada,4.0,4.6717134,5,-1.0,norm_eksigi,6543,,428,697.0,29875.0
17,1503,Çanakkale,Lapseki,16.0,10.924468,11,5.0,norm_fazlasi,18147,,589,579.0,231215.0
17,1722,Çanakkale,Yenice,11.0,10.023323,10,1.0,dengede,8218,,506,755.0,277433.0
18,1765,Çankýrý,Atkaracalar,1.0,3.6596396,4,-3.0,norm_eksigi,3541,,315,48.0,97267.0
18,1885,Çankýrý,Bayramören,1.0,2.066934,2,-1.0,norm_eksigi,449,,292,10.0,15857.0
18,1248,Çankýrý,Çerkeþ,4.0,6.285858,6,-2.0,norm_eksigi,9533,,362,209.0,282738.0
18,1300,Çankýrý,Eldivan,3.0,3.81483,4,-1.0,norm_eksigi,2770,,400,62.0,84733.0
18,1399,Çankýrý,Ilgaz,2.0,2.5739715,3,-1.0,norm_eksigi,6069,,383,173.0,140493.0
18,1817,Çankýrý,Kýzýlýrmak,4.0,4.884584,5,-1.0,norm_eksigi,1621,,352,96.0,319116.0
18,1963,Çankýrý,Korgun,2.0,2.9183228,3,-1.0,norm_eksigi,1862,,359,40.0,40536.0
18,1494,Çankýrý,Kurþunlu,4.0,4.0867777,4,0.0,dengede,5465,,317,122.0,138820.0
18,1555,Çankýrý,Orta,3.0,3.789275,4,-1.0,norm_eksigi,9534,,259,107.0,144599.0
18,1649,Çankýrý,Þabanözü,4.0,5.957916,6,-2.0,norm_eksigi,7179,,349,142.0,181102.0
18,1718,Çankýrý,Yapraklý,2.0,2.9296844,3,-1.0,norm_eksigi,1458,,424,37.0,171460.0
19,1124,Çorum,Alaca,6.0,9.45644,9,-3.0,norm_eksigi,14303,,469,360.0,867512.0
