il_kod,ilce_kod,il_adi,ilce_adi,nufus_18plus,yuzolcum,toplam_hayvan_2024,veteriner_hekim,veteriner_tahmini_norm,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu,gida_muhendisi,gida_tahmini_norm,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu,ziraat_muhendisi,ziraat_tahmini_norm,ziraat_tahmini_norm_yuvarlak,ziraat_norm_farki,ziraat_durumu
58,1870,Sivas,Akýncýlar,1956,,295,1.0,2.1813846,2,-1.0,norm_eksigi,0.0,0.0,0,0.0,dengede,2.0,3.110535,3,-1.0,norm_eksigi
58,1875,Sivas,Altýnyayla,3600,,312,4.0,3.5168455,4,0.0,dengede,0.0,0.001784347,0,0.0,dengede,6.0,4.6524243,5,1.0,norm_fazlasi
58,1282,Sivas,Divriði,8464,,333,4.0,4.0597744,4,0.0,dengede,0.0,0.053305585,0,0.0,dengede,4.0,3.6163125,4,0.0,dengede
58,1913,Sivas,Doðanþar,1042,,160,1.0,1.8293571,2,-1.0,norm_eksigi,0.0,0.0,0,0.0,dengede,1.0,2.740743,3,-2.0,norm_eksigi
58,1342,Sivas,Gemerek,11033,,357,7.0,6.019289,6,1.0,dengede,0.0,0.03668785,0,0.0,dengede,7.0,7.583695,8,-1.0,dengede
58,1927,Sivas,Gölova,1209,,237,2.0,1.899207,2,0.0,dengede,0.0,0.0,0,0.0,dengede,1.0,2.6775587,3,-2.0,norm_eksigi
58,1373,Sivas,Gürün,7780,,361,4.0,5.975624,6,-2.0,norm_eksigi,1.0,0.9866136,1,0.0,dengede,12.0,7.121881,7,5.0,norm_fazlasi
58,1376,Sivas,Hafik,2684,,353,4.0,3.0632308,3,1.0,norm_fazlasi,0.0,0.003821753,0,0.0,dengede,7.0,5.277327,5,2.0,norm_fazlasi
58,1407,Sivas,Ýmranlý,2368,,281,3.0,2.1823761,2,1.0,norm_fazlasi,0.0,0.037891634,0,0.0,dengede,5.0,3.1861122,3,2.0,norm_fazlasi
58,1431,Sivas,Kangal,6541,,327,2.0,4.696123,5,-3.0,norm_eksigi,0.0,0.038833015,0,0.0,dengede,2.0,5.2250924,5,-3.0,norm_eksigi
58,1484,Sivas,Koyulhisar,3021,,339,1.0,2.4792347,2,-1.0,norm_eksigi,0.0,0.013070621,0,0.0,dengede,3.0,3.9698637,4,-1.0,norm_eksigi
58,1646,Sivas,Suþehri,11772,,384,5.0,5.278982,5,0.0,dengede,0.0,0.059239753,0,0.0,dengede,4.0,7.1411824,7,-3.0,norm_eksigi
58,1650,Sivas,Þarkýþla,18925,,383,6.0,6.97235,7,-1.0,dengede,0.0,0.07665422,0,0.0,dengede,8.0,10.437072,10,-2.0,norm_eksigi
58,1991,Sivas,Ulaþ,2408,,333,3.0,2.8645399,3,0.0,dengede,0.0,0.0,0,0.0,dengede,10.0,6.0596747,6,4.0,norm_fazlasi
58,1731,Sivas,Yýldýzeli,6274,,379,7.0,6.4632435,6,1.0,dengede,1.0,0.9539943,1,0.0,dengede,7.0,6.999065,7,0.0,dengede
58,1738,Sivas,Zara,8777,,305,1.0,5.546582,6,-5.0,norm_eksigi,0.0,0.0216287,0,0.0,dengede,4.0,7.973642,8,-4.0,norm_eksigi
63,1115,Þanlýurfa,Akçakale,63842,,319,9.0,11.571345,12,-3.0,norm_eksigi,1.0,1.217622,1,0.0,dengede,5.0,13.185128,13,-8.0,norm_eksigi
63,1194,Þanlýurfa,Birecik,49905,,315,10.0,8.344526,8,2.0,norm_fazlasi,2.0,1.3657985,1,1.0,norm_fazlasi,13.0,17.177591,17,-4.0,norm_eksigi
63,1209,Þanlýurfa,Bozova,36734,,385,6.0,6.3076324,6,0.0,dengede,1.0,0.83388144,1,0.0,dengede,15.0,10.191859,10,5.0,norm_fazlasi
63,1220,Þanlýurfa,Ceylanpýnar,52834,,390,7.0,6.7730064,7,0.0,dengede,0.0,0.08445948,0,0.0,dengede,8.0,11.594995,12,-4.0,norm_eksigi
63,2091,Þanlýurfa,Eyyübiye,215176,,356,18.0,14.419012,14,4.0,norm_fazlasi,5.0,4.341559,4,1.0,norm_fazlasi,25.0,23.542063,24,1.0,dengede
63,1378,Þanlýurfa,Halfeti,32353,,225,7.0,6.248906,6,1.0,dengede,1.0,0.8536331,1,0.0,dengede,11.0,11.369292,11,0.0,dengede
63,2092,Þanlýurfa,Haliliye,231420,,403,18.0,15.831288,16,2.0,dengede,5.0,4.5830603,5,0.0,dengede,29.0,26.742458,27,2.0,dengede
63,1800,Þanlýurfa,Harran,45369,,329,6.0,6.583823,7,-1.0,dengede,1.0,0.76830405,1,0.0,dengede,13.0,10.711054,11,2.0,dengede
63,1393,Þanlýurfa,Hilvan,25564,,409,12.0,6.522151,7,5.0,norm_fazlasi,1.0,0.60056263,1,0.0,dengede,16.0,10.407124,10,6.0,norm_fazlasi
63,2093,Þanlýurfa,Karaköprü,179968,,370,13.0,11.635259,12,1.0,dengede,5.0,2.975517,3,2.0,norm_fazlasi,29.0,23.618076,24,5.0,norm_fazlasi
63,1630,Þanlýurfa,Siverek,157403,,440,20.0,16.726803,17,3.0,dengede,1.0,1.8540535,2,-1.0,norm_eksigi,21.0,20.270239,20,1.0,dengede
63,1643,Þanlýurfa,Suruç,62818,,357,11.0,6.5704184,7,4.0,norm_fazlasi,0.0,0.09999951,0,0.0,dengede,12.0,15.623315,16,-4.0,norm_eksigi
63,1713,Þanlýurfa,Viranþehir,116656,,344,8.0,9.901074,10,-2.0,norm_eksigi,1.0,1.5945309,2,-1.0,norm_eksigi,14.0,17.279161,17,-3.0,dengede
73,1189,Þýrnak,Beytüþþebap,4509,,224,3.0,2.73887,3,0.0,dengede,0.0,0.0,0,0.0,dengede,4.0,3.6682265,4,0.0,dengede
73,1223,Þýrnak,Cizre,87039,,295,9.0,8.064783,8,1.0,dengede,1.0,2.2749271,2,-1.0,norm_eksigi,17.0,10.335294,10,7.0,norm_fazlasi
73,1931,Þýrnak,Güçlükonak,4876,,204,2.0,2.305737,2,0.0,dengede,0.0,0.0,0,0.0,dengede,4.0,3.644635,4,0.0,dengede
73,1403,Þýrnak,Ýdil,20180,,320,8.0,8.124858,8,0.0,dengede,0.0,0.057317246,0,0.0,dengede,13.0,9.411936,9,4.0,norm_fazlasi
73,1623,Þýrnak,Silopi,75371,,270,8.0,6.061634,6,2.0,norm_fazlasi,1.0,1.5206534,2,-1.0,norm_eksigi,12.0,11.008941,11,1.0,dengede
73,1698,Þýrnak,Uludere,19898,,248,5.0,4.5065002,5,0.0,dengede,0.0,0.013223678,0,0.0,dengede,2.0,5.9674273,6,-4.0,norm_eksigi
59,1250,Tekirdað,Çerkezköy,164412,,314,5.0,7.179656,7,-2.0,norm_eksigi,2.0,3.5886433,4,-2.0,norm_eksigi,5.0,13.425508,13,-8.0,norm_eksigi
59,1258,Tekirdað,Çorlu,218236,,350,8.0,10.697988,11,-3.0,norm_eksigi,3.0,4.317731,4,-1.0,norm_eksigi,10.0,20.498962,20,-10.0,norm_eksigi
59,2094,Tekirdað,Ergene,45050,,392,7.0,7.9177666,8,-1.0,dengede,2.0,1.6214442,2,0.0,dengede,8.0,13.380685,13,-5.0,norm_eksigi
59,1388,Tekirdað,Hayrabolu,25066,,447,7.0,6.794998,7,0.0,dengede,2.0,1.4061247,1,1.0,norm_fazlasi,11.0,12.342891,12,-1.0,dengede
59,2095,Tekirdað,Kapaklý,103501,,342,4.0,7.0879526,7,-3.0,norm_eksigi,2.0,2.5149453,3,-1.0,norm_eksigi,8.0,12.0552845,12,-4.0,norm_eksigi
59,1511,Tekirdað,Malkara,38383,,457,10.0,11.191339,11,-1.0,dengede,3.0,1.8963561,2,1.0,norm_fazlasi,12.0,14.584367,15,-3.0,norm_eksigi
