il_adi,ilce_adi,nufus_18plus,yuzolcum,toplam_hayvan_2024,veteriner_hekim,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu,gida_muhendisi,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu,ziraat_muhendisi,ziraat_tahmini_norm_yuvarlak,ziraat_norm_farki,ziraat_durumu
Erzincan,Ýliç,3811,,338,1.0,4.0,-2.915366306029446,norm_eksigi,,0.0,,belirsiz,1.0,6.0,-5.486718761506896,norm_eksigi
Erzincan,Kemah,1838,,413,3.0,3.0,0.016503827236544755,dengede,,0.0,,belirsiz,2.0,6.0,-3.5926538732512014,norm_eksigi
Erzincan,Kemaliye,1928,,362,2.0,3.0,-0.724814369731619,dengede,,0.0,,belirsiz,3.0,5.0,-2.3011829192107243,norm_eksigi
Erzincan,Otlukbeli,1218,,319,1.0,2.0,-0.5799373030920014,dengede,,0.0,,belirsiz,2.0,4.0,-1.9251536017824256,norm_eksigi
Erzincan,Refahiye,3013,,339,5.0,4.0,1.0442634332309328,norm_fazlasi,,0.0,,belirsiz,1.0,7.0,-5.50311132488465,norm_eksigi
Erzincan,Tercan,8604,,423,7.0,8.0,-0.8009083817108271,dengede,,1.0,,belirsiz,3.0,10.0,-6.78616336432842,norm_eksigi
Erzincan,Üzümlü,8232,,433,4.0,6.0,-1.5595471952329838,norm_eksigi,,1.0,,belirsiz,1.0,8.0,-7.22293536762316,norm_eksigi
Erzurum,Aþkale,13800,,262,2.0,6.0,-4.453367452474283,norm_eksigi,,1.0,,belirsiz,6.0,8.0,-1.8770305105383738,norm_eksigi
Erzurum,Aziziye,51776,,291,11.0,8.0,3.035389340999771,norm_fazlasi,1.0,2.0,-1.2961712695640717,norm_eksigi,13.0,9.0,3.547787387355722,norm_fazlasi
Erzurum,Çat,11266,,158,3.0,6.0,-2.8613697761809487,norm_eksigi,,1.0,,belirsiz,5.0,7.0,-1.5856014360173436,norm_eksigi
Erzurum,Hýnýs,16051,,266,6.0,6.0,-0.3553394786471564,dengede,1.0,1.0,-0.34386241698324627,dengede,6.0,8.0,-2.0054022611263456,norm_eksigi
Erzurum,Horasan,24628,,276,9.0,8.0,0.569472097271138,dengede,,2.0,,belirsiz,6.0,10.0,-3.7027073556488155,norm_eksigi
Erzurum,Ýspir,13476,,368,4.0,6.0,-1.9436395626525318,norm_eksigi,,1.0,,belirsiz,4.0,8.0,-4.310894983672034,norm_eksigi
Erzurum,Karaçoban,15279,,238,4.0,5.0,-1.3890629143962112,norm_eksigi,,1.0,,belirsiz,4.0,7.0,-3.0862204009721754,norm_eksigi
Erzurum,Karayazý,18984,,166,5.0,10.0,-4.931590475879087,norm_eksigi,1.0,1.0,0.18803652897910572,dengede,3.0,9.0,-5.979961581245149,norm_eksigi
Erzurum,Köprüköy,11373,,222,5.0,6.0,-0.8943486689586093,dengede,,1.0,,belirsiz,5.0,7.0,-2.2413297337885636,norm_eksigi
Erzurum,Narman,10368,,250,4.0,6.0,-1.6382573246659415,norm_eksigi,,1.0,,belirsiz,5.0,7.0,-2.325142182389526,norm_eksigi
Erzurum,Oltu,23384,,313,3.0,6.0,-2.82422453494363,norm_eksigi,1.0,2.0,-0.625354022718521,dengede,5.0,8.0,-3.028059902783527,norm_eksigi
Erzurum,Olur,6058,,265,3.0,4.0,-0.8563238893545075,dengede,,1.0,,belirsiz,3.0,6.0,-3.1856820142244384,norm_eksigi
Erzurum,Palandöken,126460,,213,6.0,7.0,-0.8411029350286592,dengede,5.0,4.0,1.451389049380571,norm_fazlasi,18.0,9.0,9.127991977963605,norm_fazlasi
Erzurum,Pasinler,16476,,262,7.0,8.0,-1.401321292350989,dengede,,1.0,,belirsiz,9.0,9.0,0.05696135732478247,dengede
Erzurum,Pazaryolu,3463,,266,3.0,3.0,-0.3419905741027329,dengede,,0.0,,belirsiz,5.0,6.0,-0.7121420459402419,dengede
Erzurum,Þenkaya,10495,,236,4.0,6.0,-2.1574179910409983,norm_eksigi,,1.0,,belirsiz,4.0,7.0,-3.383048051445595,norm_eksigi
Erzurum,Tekman,14990,,138,4.0,9.0,-4.58220884584027,norm_eksigi,,1.0,,belirsiz,2.0,8.0,-5.607990834887257,norm_eksigi
Erzurum,Tortum,11223,,289,6.0,6.0,0.30954421289462886,dengede,,1.0,,belirsiz,8.0,8.0,0.3371242597692925,dengede
