il_adi,ilce_adi,veteriner_hekim,veteriner_tahmini_norm,veteriner_tahmini_norm_yuvarlak,veteriner_norm_farki,veteriner_durumu
Þýrnak,Cizre,9.0,8.351681484762796,8.0,0.6483185152372037,dengede
Ordu,Ünye,7.0,6.355396986773447,6.0,0.6446030132265532,dengede
Kastamonu,Doðanyurt,1.0,0.36280978113592344,0.0,0.6371902188640766,belirsiz
Denizli,Çameli,7.0,6.366935289878796,6.0,0.6330647101212037,dengede
Osmaniye,Bahçe,5.0,4.368019332177848,4.0,0.6319806678221518,dengede
Ýstanbul,Esenler,5.0,4.372048501233946,4.0,0.6279514987660537,dengede
Þýrnak,Uludere,5.0,4.396625379220757,4.0,0.6033746207792428,dengede
Tokat,Pazar,6.0,5.3980892264461495,5.0,0.6019107735538505,dengede
Trabzon,Vakfýkebir,5.0,4.401500803161631,4.0,0.598499196838369,dengede
Kocaeli,Baþiskele,6.0,5.429399323274104,5.0,0.5706006767258964,dengede
Erzurum,Horasan,9.0,8.430527902728862,8.0,0.569472097271138,dengede
Artvin,Borçka,4.0,3.4318548348865554,3.0,0.5681451651134446,dengede
