il_adi,ilce_adi,gida_muhendisi,gida_tahmini_norm,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu
Isparta,Senirkent,1.0,0.8003224045496742,1.0,0.19967759545032582,dengede
Antalya,Gazipaþa,3.0,2.8018980922084817,3.0,0.19810190779151826,dengede
Malatya,Kale,1.0,0.8093336278945467,1.0,0.19066637210545334,dengede
Erzurum,Karayazý,1.0,0.8119634710208943,1.0,0.18803652897910572,dengede
Artvin,Kemalpaþa,1.0,0.8190078457946277,1.0,0.1809921542053723,dengede
Bitlis,Tatvan,2.0,1.8258809069087518,2.0,0.17411909309124818,dengede
Artvin,Yusufeli,1.0,0.835274229109694,1.0,0.16472577089030604,dengede
Edirne,Meriç,1.0,0.8423788504501228,1.0,0.15762114954987716,dengede
Antalya,Demre,2.0,1.844329096431071,2.0,0.155670903568929,dengede
Ýzmir,Güzelbahçe,2.0,1.851390967636319,2.0,0.14860903236368106,dengede
Giresun,Piraziz,1.0,0.8563544245685528,1.0,0.14364557543144718,dengede
Kars,Kaðýzman,1.0,0.8619455951321284,1.0,0.13805440486787157,dengede
Kütahya,Gediz,2.0,1.8648340222643696,2.0,0.13516597773563044,dengede
Konya,Ereðli,4.0,3.8669424276785023,4.0,0.13305757232149773,dengede
Tekirdað,Hayrabolu,2.0,1.8681478937285807,2.0,0.1318521062714193,dengede
Afyonkarahisar,Çay,2.0,1.8688313415001991,2.0,0.13116865849980086,dengede
Ýzmir,Ödemiþ,4.0,3.874728023671389,4.0,0.12527197632861098,dengede
Kýrýkkale,Keskin,1.0,0.8803832463957137,1.0,0.11961675360428625,dengede
Mersin,Aydýncýk,1.0,0.8820922431820009,1.0,0.11790775681799914,dengede
Þanlýurfa,Eyyübiye,5.0,4.8827793056761415,5.0,0.11722069432385851,dengede
Batman,Beþiri,1.0,0.8833964485411792,1.0,0.11660355145882084,dengede
Sivas,Yýldýzeli,1.0,0.890543061469995,1.0,0.10945693853000504,dengede
