il_adi,ilce_adi,il_ilce,y2020,y2021,y2022,y2023,y2024,il_kod,ilce_kod
Bingöl,Genç,Bingöl Genç,44021,43111,40839,207003,205502,12,1344
Bingöl,Karlýova,Bingöl Karlýova,59637,59649,173986,193711,211501,12,1446
Bingöl,Kiðý,Bingöl Kiðý,6806,6805,18538,74405,74259,12,1475
Bingöl,Merkez,Bingöl Merkez,123071,119118,274280,450196,453158,12,1193
Bingöl,Solhan,Bingöl Solhan,21708,21876,76867,174551,174480,12,1633
Bingöl,Yayladere,Bingöl Yayladere,1154,1165,4493,35655,35599,12,1855
Bingöl,Yedisu,Bingöl Yedisu,11404,11569,36449,75864,76116,12,1996
Bitlis,Adilcevaz,Bitlis Adilcevaz,385313,370882,385250,380914,372590,13,1106
Bitlis,Ahlat,Bitlis Ahlat,372479,453033,450229,452611,417282,13,1112
Bitlis,Güroymak,Bitlis Güroymak,118263,119074,120085,120365,128040,13,1798
Bitlis,Hizan,Bitlis Hizan,68309,74633,81799,85482,85682,13,1394
Bitlis,Merkez,Bitlis Merkez,58226,60529,60433,61629,63453,13,1196
Bitlis,Mutki,Bitlis Mutki,90841,92430,92329,91586,93716,13,1537
Bitlis,Tatvan,Bitlis Tatvan,216522,218382,220746,228785,213767,13,1669
Bolu,Dörtdivan,Bolu Dörtdivan,91313,87850,87859,87849,87837,14,1916
Bolu,Gerede,Bolu Gerede,272186,288864,302000,302995,303362,14,1346
Bolu,Göynük,Bolu Göynük,149895,150068,151378,152475,152708,14,1364
Bolu,Kýbrýscýk,Bolu Kýbrýscýk,8506,9825,10849,10588,9546,14,1466
Bolu,Mengen,Bolu Mengen,44481,44738,15630,15635,16085,14,1522
Bolu,Merkez,Bolu Merkez,302683,304248,296786,302205,304119,14,1199
Bolu,Mudurnu,Bolu Mudurnu,155995,156632,154202,154042,154571,14,1531
Bolu,Seben,Bolu Seben,59074,53579,46399,45800,47610,14,1610
Bolu,Yeniçaða,Bolu Yeniçaða,43593,43346,42220,42489,42788,14,1997
Burdur,Altýnyayla,Burdur Altýnyayla,8519,12317,13180,13126,12732,15,1874
Burdur,Aðlasun,Burdur Aðlasun,53720,58825,56654,56688,58648,15,1109
Burdur,Bucak,Burdur Bucak,191654,197892,201836,199713,216391,15,1211
Burdur,Gölhisar,Burdur Gölhisar,162317,174350,174793,173439,175337,15,1357
Burdur,Karamanlý,Burdur Karamanlý,156982,156924,159419,161760,161863,15,1813
Burdur,Kemer,Burdur Kemer,64927,67794,70481,75115,80232,15,1816
Burdur,Merkez,Burdur Merkez,355651,375047,373947,372786,380624,15,1215
Burdur,Tefenni,Burdur Tefenni,152183,159081,161095,156355,158592,15,1672
Burdur,Yeþilova,Burdur Yeþilova,210154,232391,227404,220882,230340,15,1728
Burdur,Çavdýr,Burdur Çavdýr,103544,108611,105414,109388,110050,15,1899
Burdur,Çeltikçi,Burdur Çeltikçi,42114,44476,32561,32509,31991,15,1903
Bursa,Büyükorhan,Bursa Büyükorhan,63176,29268,29481,33261,38452,16,1783
Bursa,Gemlik,Bursa Gemlik,88034,87999,88385,88392,88765,16,1343
Bursa,Gürsu,Bursa Gürsu,44109,43501,43728,43738,43718,16,1935
Bursa,Harmancýk,Bursa Harmancýk,64893,63062,47412,46753,47068,16,1799
Bursa,Karacabey,Bursa Karacabey,633102,638028,616279,628642,617619,16,1434
Bursa,Keles,Bursa Keles,105811,104066,104376,104470,104478,16,1457
Bursa,Kestel,Bursa Kestel,85967,84364,84306,81422,82522,16,1960
Bursa,Mudanya,Bursa Mudanya,180322,192413,192366,186857,190047,16,1530
Bursa,Mustafakemalpaþa,Bursa Mustafakemalpaþa,397433,402559,505686,504979,512835,16,1535
Bursa,Nilüfer,Bursa Nilüfer,157806,154869,155377,155369,155372,16,1829
Bursa,Orhaneli,Bursa Orhaneli,89827,88885,88717,88713,88700,16,1553
Bursa,Orhangazi,Bursa Orhangazi,131911,130541,130307,129945,129721,16,1554
Bursa,Osmangazi,Bursa Osmangazi,158610,158532,158596,158591,120155,16,1832
Bursa,Yeniþehir,Bursa Yeniþehir,327992,314557,285996,285114,314401,16,1725
Bursa,Yýldýrým,Bursa Yýldýrým,12670,12666,12524,12526,12522,16,1859
Bursa,Ýnegöl,Bursa Ýnegöl,278107,291257,293134,292175,297879,16,1411
Bursa,Ýznik,Bursa Ýznik,156594,157926,159782,164727,164702,16,1420
Denizli,Acýpayam,Denizli Acýpayam,440588,441075,449494,449973,450035,20,1102
Denizli,Babadað,Denizli Babadað,30698,29751,31513,31513,32169,20,1769
Denizli,Baklan,Denizli Baklan,133435,121838,137572,140000,140000,20,1881
Denizli,Bekilli,Denizli Bekilli,121739,117347,120028,118494,118914,20,1774
Denizli,Beyaðaç,Denizli Beyaðaç,33604,31900,37741,41925,43753,20,1888
Denizli,Bozkurt,Denizli Bozkurt,149957,139504,144372,144761,151578,20,1889
Denizli,Buldan,Denizli Buldan,147124,145175,144165,144415,145508,20,1214
Denizli,Güney,Denizli Güney,158935,159185,164665,163233,162779,20,1371
Denizli,Honaz,Denizli Honaz,161330,130460,159109,159759,159788,20,1803
Denizli,Kale,Denizli Kale,140984,135513,151690,158635,167407,20,1426
Denizli,Merkezefendi,Denizli Merkezefendi,57283,39550,61089,61731,61731,20,2079
Denizli,Pamukkale,Denizli Pamukkale,289023,285532,287147,287835,288001,20,1871
Denizli,Sarayköy,Denizli Sarayköy,156716,152092,152695,154074,155126,20,1597
Denizli,Serinhisar,Denizli Serinhisar,57707,59357,56350,58496,59016,20,1840
Denizli,Tavas,Denizli Tavas,484344,471956,478292,478236,466311,20,1670
Denizli,Çal,Denizli Çal,383178,384527,381265,378220,380683,20,1224
Denizli,Çameli,Denizli Çameli,125028,122322,122006,120996,121006,20,1226
Denizli,Çardak,Denizli Çardak,98956,96695,100936,101315,101240,20,1233
Denizli,Çivril,Denizli Çivril,479582,510780,512356,496965,497511,20,1257
Diyarbakýr,Baðlar,Diyarbakýr Baðlar,115907,118674,125529,134358,145067,21,2040
Diyarbakýr,Bismil,Diyarbakýr Bismil,1203918,1263526,1291930,1315015,1320176,21,1195
Diyarbakýr,Dicle,Diyarbakýr Dicle,130868,144611,144614,151390,158764,21,1278
Diyarbakýr,Ergani,Diyarbakýr Ergani,571270,594937,566855,543241,524645,21,1315
Diyarbakýr,Eðil,Diyarbakýr Eðil,122566,113355,94268,90283,114885,21,1791
Diyarbakýr,Hani,Diyarbakýr Hani,136532,139080,182042,131180,120918,21,1381
Diyarbakýr,Hazro,Diyarbakýr Hazro,143194,113636,125308,132926,164526,21,1389
Diyarbakýr,Kayapýnar,Diyarbakýr Kayapýnar,202743,205585,199935,197912,197640,21,2041
Diyarbakýr,Kocaköy,Diyarbakýr Kocaköy,89231,96823,98211,102756,99372,21,1962
Diyarbakýr,Kulp,Diyarbakýr Kulp,117547,118214,77517,82886,85842,21,1490
Diyarbakýr,Lice,Diyarbakýr Lice,120904,104755,107492,103496,103674,21,1504
Diyarbakýr,Silvan,Diyarbakýr Silvan,720895,745701,754057,748538,751161,21,1624
Diyarbakýr,Sur,Diyarbakýr Sur,853605,888144,891984,880325,783058,21,2042
Diyarbakýr,Yeniþehir,Diyarbakýr Yeniþehir,159519,172767,173720,173604,185718,21,2043
Diyarbakýr,Çermik,Diyarbakýr Çermik,218704,217915,215943,208016,211345,21,1249
Diyarbakýr,Çüngüþ,Diyarbakýr Çüngüþ,49873,55335,55838,59488,59988,21,1263
Diyarbakýr,Çýnar,Diyarbakýr Çýnar,592967,642703,660916,617083,666797,21,1253
Düzce,Akçakoca,Düzce Akçakoca,220678,220709,220287,220041,220005,81,1116
